state_county,pop_2012,popdensity,percapinc
17181,17660,42.71279479,20138
17183,80338,89.42655744,21000
17185,11650,52.18327446,23629
17187,17338,31.96502029,20373
17189,14478,25.7353612,25177
17191,16530,23.1572918,22319
17193,14369,29.04199319,23398
17195,57729,84.36830601,24370
17197,715063,854.4108971,30199
17199,67227,160.0074357,22903
17201,298474,581.4102246,24544
17203,39386,74.62306928,29886
18001,34561,101.941354,19633
18003,360189,547.9759516,24902
18005,77974,191.6257144,27518
18007,8619,21.20725546,22461
18009,12352,74.82442736,21255
18011,59019,139.5536053,36155
18013,15226,48.80426783,25418
18015,19998,53.7256993,24007
18017,38296,92.91655593,20674
18019,113626,304.7454453,24136
18021,26196,73.26693711,20921
18023,33038,81.56121134,21362
18025,10596,34.66792976,19202
18027,32160,74.88002518,20123
18029,50983,167.1389416,25687
18031,25919,69.5685471,22425
18033,42542,117.2523149,22732
18035,116652,297.4875817,21132
18037,42387,99.20441508,25355
18039,200569,433.0350624,21879
18041,23918,111.2392062,18288
18043,75638,511.2929673,26785
18045,16980,42.91609988,21918
18047,23281,60.5598128,23971
18049,20845,56.58430392,21951
18051,33513,68.74662581,23252
18053,68952,166.520919,20346
18055,33004,60.83745015,21974
18057,295195,748.7178436,39842
18059,73386,239.8110132,28605
18061,40407,83.39670481,23956
18063,154485,379.6528493,29173
18065,49408,126.0806302,19598
18067,81928,279.5637917,23631
18069,36820,96.22346905,21916
18071,42275,83.00409471,22062
18073,34249,61.19994627,23546
18075,21076,54.8989507,19375
18077,32561,90.28903247,22191
18079,28627,76.01769768,19570
18081,145393,453.7470469,28694
18083,38083,73.79982078,20841
18085,78056,146.8927831,24417
18087,37697,99.30080807,18469
18089,499402,1000.883319,23726
18091,112067,187.3092899,22968
18093,46164,102.7766711,22189
18095,131271,290.4771171,22150
18097,913501,2305.083753,24575
18099,47401,106.8484076,22376
18101,10275,30.60430397,22148
18103,36791,98.41319121,19392
18105,141889,359.6598514,22306
18107,38158,75.61835809,23322
18109,69376,171.7359685,25249
18111,14100,35.09568569,23416
18113,47768,116.2683216,20600
18115,6201,71.98736461,26138
18117,19867,49.86856598,18811
18119,21482,55.7556224,21028
18121,17191,38.66076571,20000
18123,19362,50.72209452,21298
18125,12733,38.09555814,20756
18127,168833,403.7588557,28452
18129,25508,62.27984201,27529
18131,13232,30.5131493,21895
18133,38314,79.73310688,20927
18135,25670,56.74444213,20552
18137,29139,65.27180839,22995
18139,17087,41.86720889,21779
18141,266546,582.1684437,23420
18143,24391,128.1056779,19766
18145,44594,108.4623927,26197
18147,21000,52.93082967,23781
18149,23294,75.35240693,18507
18151,34226,110.7855277,23813
18153,20605,46.08158712,21371
18155,10877,49.29909618,20974
18157,178519,357.1765882,22892
18159,15716,60.32066729,24969
18161,7495,46.48808956,20279
18163,181504,777.4015886,24312
18165,15892,61.86586859,22786
18167,107821,267.3385772,20869
18169,32217,78.1142347,20741
18171,8429,23.11331996,25447
18173,61418,159.603779,30791
18175,28446,55.37200654,19721
18177,68273,169.9430663,22082
18179,27594,74.96594881,23618
18181,24250,48.00795562,22756
18183,33833,100.8226403,24898
19001,7447,13.08165093,24307
19003,3820,9.021380092,24105
19005,14250,22.29761107,22411
19007,12620,25.37742118,19907
19009,5891,13.29913011,25610
19011,26061,36.38458643,26432
19013,132373,233.9702044,23721
19015,26236,45.90171987,26861
19017,24512,56.28770786,27922
19019,20906,36.61167861,24792
19021,20189,35.11650435,22632
19023,14713,25.36149742,24276
19025,9212,16.16232459,24262
19027,20681,36.31832579,25429
19029,13648,24.18703036,22812
19031,18274,31.537585,25649
19033,43734,76.95409471,26841
19035,11725,20.32392467,25416
19037,12188,24.16430972,24268
19039,9237,21.42327811,22463
19041,16486,29.06364609,26114
